date,year,month,expense_type,expense_category,total_expense,allocated_budget
2018-11-01,2018,11,Vendor,Planned,2999397.608694267,3180298.4376875605
2018-11-01,2018,11,Vendor,Unplanned,765111.3737263707,872422.2918417224
2018-11-01,2018,11,Reimbursement,Planned,520236.3564772398,572533.2396354773
2018-11-01,2018,11,Reimbursement,Unplanned,218721.4610242091,247733.93252156462
2018-12-01,2018,12,Vendor,Planned,2985714.128383399,3230557.496360626
2018-12-01,2018,12,Vendor,Unplanned,348648.6618369147,397303.39245466783
2018-12-01,2018,12,Reimbursement,Planned,611453.024869548,665823.5304876565
2018-12-01,2018,12,Reimbursement,Unplanned,198390.03692390816,208524.54697783806
2019-01-01,2019,1,Vendor,Planned,2585737.80565691,2949132.736438521
2019-01-01,2019,1,Vendor,Unplanned,801955.5103421723,849374.0712062274
2019-01-01,2019,1,Reimbursement,Planned,557742.739524482,603439.3628004268
2019-01-01,2019,1,Reimbursement,Unplanned,314825.67453501653,360477.3482244508
2019-02-01,2019,2,Vendor,Planned,2600201.424602175,2977388.501602688
2019-02-01,2019,2,Vendor,Unplanned,616668.9189201766,682864.497119871
2019-02-01,2019,2,Reimbursement,Planned,555438.9598602336,618305.6082461036
2019-02-01,2019,2,Reimbursement,Unplanned,293505.855360302,321343.2867793915
2019-03-01,2019,3,Vendor,Planned,2493556.0762462215,2691347.630197388
2019-03-01,2019,3,Vendor,Unplanned,654316.169561821,708537.0306796342
2019-03-01,2019,3,Reimbursement,Planned,649628.5108721983,725798.6527313478
2019-03-01,2019,3,Reimbursement,Unplanned,267227.60043874756,300694.5044739712
2019-04-01,2019,4,Vendor,Planned,2268945.8670104914,2561998.160328404
2019-04-01,2019,4,Vendor,Unplanned,711870.9268684676,803675.0931302226
2019-04-01,2019,4,Reimbursement,Planned,673581.2675114879,713403.8031366945
2019-04-01,2019,4,Reimbursement,Unplanned,171164.61846769624,188185.575672791
2019-05-01,2019,5,Vendor,Planned,2087764.9327068927,2204170.095415522
2019-05-01,2019,5,Vendor,Unplanned,692850.6672319153,765567.345871632
2019-05-01,2019,5,Reimbursement,Planned,682650.0077047227,746923.5881063995
2019-05-01,2019,5,Reimbursement,Unplanned,211933.80673732073,241343.9497450476
2019-06-01,2019,6,Vendor,Planned,2702858.9587892806,2932849.2852737484
2019-06-01,2019,6,Vendor,Unplanned,419340.9457099098,445217.09233342425
2019-06-01,2019,6,Reimbursement,Planned,559822.8825140052,595819.0282019399
2019-06-01,2019,6,Reimbursement,Unplanned,350741.1234418048,394987.48906204145
2019-07-01,2019,7,Vendor,Planned,2701855.690911694,3003982.074716823
2019-07-01,2019,7,Vendor,Unplanned,370300.80444377847,392560.42549754505
2019-07-01,2019,7,Reimbursement,Planned,614902.230093666,650819.087862966
2019-07-01,2019,7,Reimbursement,Unplanned,233637.15111377323,261696.25175874238
2019-08-01,2019,8,Vendor,Planned,2504790.831167274,2648255.983844558
2019-08-01,2019,8,Vendor,Unplanned,639374.3212636677,723890.6590850999
2019-08-01,2019,8,Reimbursement,Planned,568418.1767183511,636983.177462449
2019-08-01,2019,8,Reimbursement,Unplanned,286298.8744484581,302942.824604434
2019-09-01,2019,9,Vendor,Planned,3004690.7641502377,3180416.4119540886
2019-09-01,2019,9,Vendor,Unplanned,397814.4003286017,456955.0635712227
2019-09-01,2019,9,Reimbursement,Planned,647090.3077610417,703663.5235902736
2019-09-01,2019,9,Reimbursement,Unplanned,284721.69366749946,309510.7643366188
2019-10-01,2019,10,Vendor,Planned,3422189.0625374443,3871453.8945746953
2019-10-01,2019,10,Vendor,Unplanned,538138.1424720827,616020.108584954
2019-10-01,2019,10,Reimbursement,Planned,592414.1970222404,680447.0097221225
2019-10-01,2019,10,Reimbursement,Unplanned,239329.81524750346,269326.89219883084
2019-11-01,2019,11,Vendor,Planned,3214922.0568254013,3496632.683728204
2019-11-01,2019,11,Vendor,Unplanned,665912.7353526084,704768.7911863101
2019-11-01,2019,11,Reimbursement,Planned,645907.8910665272,728399.8181714081
2019-11-01,2019,11,Reimbursement,Unplanned,296324.2917241731,327687.38069025485
2019-12-01,2019,12,Vendor,Planned,3113210.3813955146,3400940.136785705
2019-12-01,2019,12,Vendor,Unplanned,792199.0322521199,903610.2905396773
2019-12-01,2019,12,Reimbursement,Planned,595790.1311703871,632204.6739858064
2019-12-01,2019,12,Reimbursement,Unplanned,253259.5013063195,278398.6751960031
2020-01-01,2020,1,Vendor,Planned,2788564.6149057862,2931158.8828559397
2020-01-01,2020,1,Vendor,Unplanned,647501.0075267111,710221.8816909778
2020-01-01,2020,1,Reimbursement,Planned,710441.8365588796,749963.9486447921
2020-01-01,2020,1,Reimbursement,Unplanned,235413.7920167076,249981.61924036205
2020-02-01,2020,2,Vendor,Planned,2951478.495952531,3133740.0397574212
2020-02-01,2020,2,Vendor,Unplanned,366822.78346883086,408978.4356501579
2020-02-01,2020,2,Reimbursement,Planned,687679.630214513,773367.5983949064
2020-02-01,2020,2,Reimbursement,Unplanned,215232.51760626002,238550.13628704468
2020-03-01,2020,3,Vendor,Planned,3188897.635430593,3655169.493672792
2020-03-01,2020,3,Vendor,Unplanned,474182.78810982127,515667.64517320174
2020-03-01,2020,3,Reimbursement,Planned,601903.2873579193,649195.5561229093
2020-03-01,2020,3,Reimbursement,Unplanned,342534.2681250648,389413.47819816263
2020-04-01,2020,4,Vendor,Planned,2745248.546643538,2943893.589048822
2020-04-01,2020,4,Vendor,Unplanned,406166.9632260697,465598.22876292275
2020-04-01,2020,4,Reimbursement,Planned,760853.8384690969,799821.308264784
2020-04-01,2020,4,Reimbursement,Unplanned,215578.41105754743,247265.8252484239
2020-05-01,2020,5,Vendor,Planned,2345975.2976986207,2473399.271312242
2020-05-01,2020,5,Vendor,Unplanned,645614.0835259082,735428.242166264
2020-05-01,2020,5,Reimbursement,Planned,624841.870622601,689056.9389668414
2020-05-01,2020,5,Reimbursement,Unplanned,286775.0220475105,329589.52327983745
2020-06-01,2020,6,Vendor,Planned,2396745.912487812,2534270.369600723
2020-06-01,2020,6,Vendor,Unplanned,794478.1429251027,878204.5624035852
2020-06-01,2020,6,Reimbursement,Planned,660759.6902846881,757845.2791217064
2020-06-01,2020,6,Reimbursement,Unplanned,280293.07332430617,308969.79722969845
2020-07-01,2020,7,Vendor,Planned,2455174.492423343,2732461.5652360786
2020-07-01,2020,7,Vendor,Unplanned,741751.3591665737,830446.1806941725
2020-07-01,2020,7,Reimbursement,Planned,605421.8537020969,663211.8557887448
2020-07-01,2020,7,Reimbursement,Unplanned,301545.8801596351,335546.9295286408
2020-08-01,2020,8,Vendor,Planned,2854105.6423611296,3163580.401936394
2020-08-01,2020,8,Vendor,Unplanned,593637.2153056683,676815.1692607783
2020-08-01,2020,8,Reimbursement,Planned,702242.3986023656,740545.9560463621
2020-08-01,2020,8,Reimbursement,Unplanned,245960.14423836116,265168.7261140567
2020-09-01,2020,9,Vendor,Planned,3158466.406874068,3616574.001734085
2020-09-01,2020,9,Vendor,Unplanned,373043.6712704841,424906.58186819026
2020-09-01,2020,9,Reimbursement,Planned,601109.9749963381,658555.4556735483
2020-09-01,2020,9,Reimbursement,Unplanned,323167.7292153534,359366.80002051505
2020-10-01,2020,10,Vendor,Planned,3006212.0911362977,3239909.3623062694
2020-10-01,2020,10,Vendor,Unplanned,786033.665803893,840122.3055733825
2020-10-01,2020,10,Reimbursement,Planned,562841.0210062462,617081.9204240972
2020-10-01,2020,10,Reimbursement,Unplanned,363833.28522129287,394881.0796786557
2020-11-01,2020,11,Vendor,Planned,3173373.838554005,3517258.4340876765
2020-11-01,2020,11,Vendor,Unplanned,1014672.2034341991,1073293.331143151
2020-11-01,2020,11,Reimbursement,Planned,689277.784188901,790904.5427936765
2020-11-01,2020,11,Reimbursement,Unplanned,361884.32143536315,415667.9581129578
2020-12-01,2020,12,Vendor,Planned,3193071.839639154,3575653.4824761767
2020-12-01,2020,12,Vendor,Unplanned,944455.9674046207,1042310.7070046155
2020-12-01,2020,12,Reimbursement,Planned,658164.7843681196,711445.0412694324
2020-12-01,2020,12,Reimbursement,Unplanned,284912.58274856093,322344.2559752512
2021-01-01,2021,1,Vendor,Planned,3102172.499930807,3469696.546261549
2021-01-01,2021,1,Vendor,Unplanned,846392.0629721973,902475.4347974419
2021-01-01,2021,1,Reimbursement,Planned,767711.8138198341,876030.3606173821
2021-01-01,2021,1,Reimbursement,Unplanned,261884.8378145045,296520.08295116207
2021-02-01,2021,2,Vendor,Planned,3380590.0814669253,3870708.0021655536
2021-02-01,2021,2,Vendor,Unplanned,619968.7807202945,695959.5636323554
2021-02-01,2021,2,Reimbursement,Planned,651931.4023337896,724518.4353404067
2021-02-01,2021,2,Reimbursement,Unplanned,269976.0445265963,294766.4068117796
2021-03-01,2021,3,Vendor,Planned,2662960.402451785,3044490.3243154385
2021-03-01,2021,3,Vendor,Unplanned,858932.3325220775,976267.9768203542
2021-03-01,2021,3,Reimbursement,Planned,692098.014718806,729832.4906356181
2021-03-01,2021,3,Reimbursement,Unplanned,271587.09880105534,285882.5467518951
2021-04-01,2021,4,Vendor,Planned,2572392.8850995013,2797853.698000246
2021-04-01,2021,4,Vendor,Unplanned,465474.4286872721,526477.3349782596
2021-04-01,2021,4,Reimbursement,Planned,631970.7395695599,725962.2391082916
2021-04-01,2021,4,Reimbursement,Unplanned,363457.40917074145,387097.29298287915
2021-05-01,2021,5,Vendor,Planned,2817674.597631174,3125965.0299447477
2021-05-01,2021,5,Vendor,Unplanned,346440.55552206514,376958.1872946211
2021-05-01,2021,5,Reimbursement,Planned,671113.6718965151,769761.6367856063
2021-05-01,2021,5,Reimbursement,Unplanned,398383.048354362,451850.79113964975
2021-06-01,2021,6,Vendor,Planned,2836165.061621489,3215737.172948176
2021-06-01,2021,6,Vendor,Unplanned,355184.2799112634,389590.7381529377
2021-06-01,2021,6,Reimbursement,Planned,756776.7098008486,826008.1191049234
2021-06-01,2021,6,Reimbursement,Unplanned,219120.2143888676,236067.1267299999
2021-07-01,2021,7,Vendor,Planned,3387982.3002261417,3576481.3337194286
2021-07-01,2021,7,Vendor,Unplanned,494721.1432477925,562236.8446674668
2021-07-01,2021,7,Reimbursement,Planned,661592.1428537853,748452.6420523118
2021-07-01,2021,7,Reimbursement,Unplanned,268864.64132451697,309186.7467561284
2021-08-01,2021,8,Vendor,Planned,2596339.0251013306,2984916.6877512503
2021-08-01,2021,8,Vendor,Unplanned,802164.3279864239,886827.2944724535
2021-08-01,2021,8,Reimbursement,Planned,780403.1862071783,879435.3684135464
2021-08-01,2021,8,Reimbursement,Unplanned,220828.50671943696,252733.05258837235
2021-09-01,2021,9,Vendor,Planned,3020804.2828253745,3428506.344631616
2021-09-01,2021,9,Vendor,Unplanned,751172.2760243104,807310.9934811989
2021-09-01,2021,9,Reimbursement,Planned,690668.0660812292,756319.1140471769
2021-09-01,2021,9,Reimbursement,Unplanned,340423.0775076363,361841.1159425139
2021-10-01,2021,10,Vendor,Planned,4034174.52284401,4620764.083752239
2021-10-01,2021,10,Vendor,Unplanned,534213.7902793698,593307.1646974599
2021-10-01,2021,10,Reimbursement,Planned,761152.9593366389,816613.8221074701
2021-10-01,2021,10,Reimbursement,Unplanned,245696.27432502038,274484.5236032799
2021-11-01,2021,11,Vendor,Planned,3350925.533081942,3725601.980102977
2021-11-01,2021,11,Vendor,Unplanned,977069.5226023602,1060917.9863247094
2021-11-01,2021,11,Reimbursement,Planned,782527.6872424518,830540.2676038542
2021-11-01,2021,11,Reimbursement,Unplanned,221084.99761559837,246986.72333101166
2021-12-01,2021,12,Vendor,Planned,3395394.6098651285,3741829.336670391
2021-12-01,2021,12,Vendor,Unplanned,1127219.8847946073,1270638.143890038
2021-12-01,2021,12,Reimbursement,Planned,604525.0402648392,666196.4784234839
2021-12-01,2021,12,Reimbursement,Unplanned,351757.3888338425,399321.3722119902
2022-01-01,2022,1,Vendor,Planned,3673623.545823272,4060054.518916719
2022-01-01,2022,1,Vendor,Unplanned,659531.3564056796,729503.5423485818
2022-01-01,2022,1,Reimbursement,Planned,696243.3276051495,792091.9161325957
2022-01-01,2022,1,Reimbursement,Unplanned,383448.3184404399,418092.21701932914
2022-02-01,2022,2,Vendor,Planned,3007570.3365337066,3198254.8759335857
2022-02-01,2022,2,Vendor,Unplanned,757493.3294208292,797548.264422894
2022-02-01,2022,2,Reimbursement,Planned,820747.041791145,923762.0607547429
2022-02-01,2022,2,Reimbursement,Unplanned,274607.1883959777,305371.6939990111
2022-03-01,2022,3,Vendor,Planned,3524134.334294816,3948468.219493637
2022-03-01,2022,3,Vendor,Unplanned,628540.8915540483,673353.6045261378
2022-03-01,2022,3,Reimbursement,Planned,768356.0743532545,817252.0632344784
2022-03-01,2022,3,Reimbursement,Unplanned,308282.97199357033,324145.5078691236
2022-04-01,2022,4,Vendor,Planned,2776016.6430812725,3012141.165045771
2022-04-01,2022,4,Vendor,Unplanned,738905.7337181536,819440.3765279251
2022-04-01,2022,4,Reimbursement,Planned,660679.4895715028,719628.2236004733
2022-04-01,2022,4,Reimbursement,Unplanned,357633.7022106227,391160.9649199188
2022-05-01,2022,5,Vendor,Planned,3136259.4825571356,3576640.0846192418
2022-05-01,2022,5,Vendor,Unplanned,412320.17556004366,447295.45986832504
2022-05-01,2022,5,Reimbursement,Planned,779284.1789415416,858302.7755930672
2022-05-01,2022,5,Reimbursement,Unplanned,293773.4197992906,331483.73333815334
2022-06-01,2022,6,Vendor,Planned,2983588.1257608933,3251079.565717931
2022-06-01,2022,6,Vendor,Unplanned,583012.2526146881,648431.2820875716
2022-06-01,2022,6,Reimbursement,Planned,788384.6717649502,895791.3382994285
2022-06-01,2022,6,Reimbursement,Unplanned,340292.03209291573,389618.06395142066
2022-07-01,2022,7,Vendor,Planned,3235898.988434642,3445285.4306727583
2022-07-01,2022,7,Vendor,Unplanned,849234.4811183591,970385.2212807484
2022-07-01,2022,7,Reimbursement,Planned,612812.3792741518,673610.493882024
2022-07-01,2022,7,Reimbursement,Unplanned,400329.7429050341,430684.5210077248
2022-08-01,2022,8,Vendor,Planned,3337784.623114843,3657923.480980012
2022-08-01,2022,8,Vendor,Unplanned,408036.87727293465,468427.6643011052
2022-08-01,2022,8,Reimbursement,Planned,854146.3301654015,938930.44038938
2022-08-01,2022,8,Reimbursement,Unplanned,225977.2905967579,244705.19494380502
2022-09-01,2022,9,Vendor,Planned,2945558.193061832,3279408.0103074233
2022-09-01,2022,9,Vendor,Unplanned,969749.2498729979,1041524.8157336918
2022-09-01,2022,9,Reimbursement,Planned,857709.0943649154,907101.4157279201
2022-09-01,2022,9,Reimbursement,Unplanned,233990.93033968925,248706.14545985303
2022-10-01,2022,10,Vendor,Planned,4335534.600223731,4607826.046756528
2022-10-01,2022,10,Vendor,Unplanned,511112.92469097767,544432.5139204771
2022-10-01,2022,10,Reimbursement,Planned,810949.4921037231,862755.1492239328
2022-10-01,2022,10,Reimbursement,Unplanned,241409.06226343336,268950.8124937311
2022-11-01,2022,11,Vendor,Planned,4022049.046147211,4296304.560451647
2022-11-01,2022,11,Vendor,Unplanned,560592.2102391082,607999.6593876509
2022-11-01,2022,11,Reimbursement,Planned,650287.6265489012,741119.0485357806
2022-11-01,2022,11,Reimbursement,Unplanned,329970.0122168056,362107.8256504296
2022-12-01,2022,12,Vendor,Planned,4269417.931061899,4767897.125501075
2022-12-01,2022,12,Vendor,Unplanned,525400.8177641416,560724.5587769834
2022-12-01,2022,12,Reimbursement,Planned,734558.6166078243,785411.3030027129
2022-12-01,2022,12,Reimbursement,Unplanned,259154.44445657625,273171.2950338299
2023-01-01,2023,1,Vendor,Planned,3388568.5760712423,3615241.8094870993
2023-01-01,2023,1,Vendor,Unplanned,634659.9366885312,684073.9462161637
2023-01-01,2023,1,Reimbursement,Planned,899905.7769317115,960830.3415161095
2023-01-01,2023,1,Reimbursement,Unplanned,227780.47836556495,241189.97284098517
2023-02-01,2023,2,Vendor,Planned,3713008.4659449905,3943451.090311558
2023-02-01,2023,2,Vendor,Unplanned,498633.2777442094,546540.9043733296
2023-02-01,2023,2,Reimbursement,Planned,795176.2961654421,851342.2791713102
2023-02-01,2023,2,Reimbursement,Unplanned,267675.1889430268,290809.5487784075
2023-03-01,2023,3,Vendor,Planned,3550617.5318919094,3906892.627261948
2023-03-01,2023,3,Vendor,Unplanned,865992.7167431461,969080.0419073196
2023-03-01,2023,3,Reimbursement,Planned,772472.5115557599,814132.8918733165
2023-03-01,2023,3,Reimbursement,Unplanned,400217.59104598523,452222.2810091332
2023-04-01,2023,4,Vendor,Planned,3417282.479414892,3802717.903368143
2023-04-01,2023,4,Vendor,Unplanned,465724.5740268403,492818.5217609058
2023-04-01,2023,4,Reimbursement,Planned,896671.5639570841,1019836.4532666685
2023-04-01,2023,4,Reimbursement,Unplanned,249017.73358852637,284399.97607841843
2023-05-01,2023,5,Vendor,Planned,3377225.321967552,3566713.9913295256
2023-05-01,2023,5,Vendor,Unplanned,505784.2152936575,545077.460458389
2023-05-01,2023,5,Reimbursement,Planned,958215.2302528333,1083377.4262601787
2023-05-01,2023,5,Reimbursement,Unplanned,354421.34427990275,398662.33202752186
2023-06-01,2023,6,Vendor,Planned,3508205.2933029104,3748349.3196512247
2023-06-01,2023,6,Vendor,Unplanned,462595.05939573003,495409.20863185666
2023-06-01,2023,6,Reimbursement,Planned,769454.3235554862,836433.1758582126
2023-06-01,2023,6,Reimbursement,Unplanned,383115.23900980374,420833.8148880141
2023-07-01,2023,7,Vendor,Planned,3384985.4224261083,3763513.032444957
2023-07-01,2023,7,Vendor,Unplanned,660449.5346663776,717836.8955582901
2023-07-01,2023,7,Reimbursement,Planned,672861.3931362338,737626.6381401677
2023-07-01,2023,7,Reimbursement,Unplanned,435297.6765267658,489599.7966171947
2023-08-01,2023,8,Vendor,Planned,3697617.1287601683,3896062.0291327825
2023-08-01,2023,8,Vendor,Unplanned,965314.5845745336,1037948.4202093317
2023-08-01,2023,8,Reimbursement,Planned,737296.2707688459,826756.0832500062
2023-08-01,2023,8,Reimbursement,Unplanned,289340.46960156667,329709.44976233976
2023-09-01,2023,9,Vendor,Planned,3157459.4259581533,3476892.473521888
2023-09-01,2023,9,Vendor,Unplanned,948154.2008839599,1046014.4745682894
2023-09-01,2023,9,Reimbursement,Planned,827337.9792592858,877571.6257517505
2023-09-01,2023,9,Reimbursement,Unplanned,347109.55058908253,379995.13867614535
2023-10-01,2023,10,Vendor,Planned,4130242.9672956876,4556738.987564083
2023-10-01,2023,10,Vendor,Unplanned,766696.2908523185,823621.2289727185
2023-10-01,2023,10,Reimbursement,Planned,712085.7840775148,766862.5010032059
2023-10-01,2023,10,Reimbursement,Unplanned,441894.1033692191,480660.77323473245
2023-11-01,2023,11,Vendor,Planned,4196295.060039064,4414532.279849391
2023-11-01,2023,11,Vendor,Unplanned,852819.3079416985,922927.806448292
2023-11-01,2023,11,Reimbursement,Planned,791082.7920535181,847364.2196310918
2023-11-01,2023,11,Reimbursement,Unplanned,296337.190566191,320859.0146207275
2023-12-01,2023,12,Vendor,Planned,4029078.41242605,4278785.43504126
2023-12-01,2023,12,Vendor,Unplanned,605893.0702424292,690144.1545807642
2023-12-01,2023,12,Reimbursement,Planned,738765.0321440527,819555.8185542877
2023-12-01,2023,12,Reimbursement,Unplanned,390557.6835944187,436608.4306430066
2024-01-01,2024,1,Vendor,Planned,3227402.7546530464,3643470.235323127
2024-01-01,2024,1,Vendor,Unplanned,1054093.0976604135,1159338.2006908138
2024-01-01,2024,1,Reimbursement,Planned,933808.5428168868,988615.6607137454
2024-01-01,2024,1,Reimbursement,Unplanned,244454.63510976837,269807.18523478904
2024-02-01,2024,2,Vendor,Planned,3684306.2338658967,4084731.7845005067
2024-02-01,2024,2,Vendor,Unplanned,856691.2219301951,963386.9284281024
2024-02-01,2024,2,Reimbursement,Planned,778909.055395095,851476.8611054532
2024-02-01,2024,2,Reimbursement,Unplanned,448378.704313411,476518.0686154204
2024-03-01,2024,3,Vendor,Planned,3616717.5831451304,3900187.1931199054
2024-03-01,2024,3,Vendor,Unplanned,728293.3546226779,791151.0647186384
2024-03-01,2024,3,Reimbursement,Planned,855347.773460384,953363.549554669
2024-03-01,2024,3,Reimbursement,Unplanned,295985.7649109303,327679.278466676
2024-04-01,2024,4,Vendor,Planned,3344094.4267510665,3630381.2557345484
2024-04-01,2024,4,Vendor,Unplanned,399728.78238192433,459149.0754211424
2024-04-01,2024,4,Reimbursement,Planned,919442.7232920422,1021112.3844177683
2024-04-01,2024,4,Reimbursement,Unplanned,310450.3740606966,333337.60738689726
2024-05-01,2024,5,Vendor,Planned,3593545.4131535534,3809798.6775736795
2024-05-01,2024,5,Vendor,Unplanned,826885.8262489736,880869.8231218366
2024-05-01,2024,5,Reimbursement,Planned,802594.3925366276,862464.5415237042
2024-05-01,2024,5,Reimbursement,Unplanned,433028.8704909298,461638.28137262794
2024-06-01,2024,6,Vendor,Planned,3196211.187599291,3415652.5079302443
2024-06-01,2024,6,Vendor,Unplanned,1053171.0422380334,1135854.9919449678
2024-06-01,2024,6,Reimbursement,Planned,715834.5066686694,764036.9122078223
2024-06-01,2024,6,Reimbursement,Unplanned,432782.02005039155,493231.5162510283
2024-07-01,2024,7,Vendor,Planned,3718686.1111241165,3934456.828243864
2024-07-01,2024,7,Vendor,Unplanned,810077.7745051295,893071.1651469526
2024-07-01,2024,7,Reimbursement,Planned,757564.0075693267,826532.3944425953
2024-07-01,2024,7,Reimbursement,Unplanned,465167.6951021402,534123.1595517477
2024-08-01,2024,8,Vendor,Planned,2942320.5374243623,3122402.0005795346
2024-08-01,2024,8,Vendor,Unplanned,849425.9945618231,925692.1830810562
2024-08-01,2024,8,Reimbursement,Planned,777960.1186230045,892279.0578813949
2024-08-01,2024,8,Reimbursement,Unplanned,354820.4993102809,403271.49133242574
2024-09-01,2024,9,Vendor,Planned,4028936.0887095425,4559576.0085174395
2024-09-01,2024,9,Vendor,Unplanned,737546.1720767841,793445.0049661009
2024-09-01,2024,9,Reimbursement,Planned,677575.8367855758,723033.5586270639
2024-09-01,2024,9,Reimbursement,Unplanned,434917.09431639244,485743.385666601
2024-10-01,2024,10,Vendor,Planned,4636052.196724688,5298718.366158734
2024-10-01,2024,10,Vendor,Unplanned,980202.4610885354,1083786.6199404649
2024-10-01,2024,10,Reimbursement,Planned,857842.9163996916,949770.4518782691
2024-10-01,2024,10,Reimbursement,Unplanned,254363.97604133643,274203.8343905912
2024-11-01,2024,11,Vendor,Planned,3903094.3301832173,4398589.397158128
2024-11-01,2024,11,Vendor,Unplanned,1228603.9396071928,1313014.4052232194
2024-11-01,2024,11,Reimbursement,Planned,879356.631111082,951787.4109551405
2024-11-01,2024,11,Reimbursement,Unplanned,327748.54260208143,358079.5870048205
2024-12-01,2024,12,Vendor,Planned,4759871.222631993,5239480.787144539
2024-12-01,2024,12,Vendor,Unplanned,582089.1943660108,625304.0626691089
2024-12-01,2024,12,Reimbursement,Planned,832895.4971613713,884104.9794427991
2024-12-01,2024,12,Reimbursement,Unplanned,331838.8229955408,368693.5077634497
